YEAR,DOY,swv_dwn,lwv_dwn,T2M,T2MN,T2MX,RH2M,RAIN,WS10M
2000,299,1.73,29.81,13.15,9.53,16.59,85.07,5.44,4.87
2000,300,4.10,28.19,11.23,8.48,13.28,81.43,0.00,3.01
2000,301,4.75,28.26,10.89,2.24,15.05,77.01,0.00,3.69
2000,302,5.40,29.02,14.12,7.61,18.04,74.13,3.98,5.12
2000,303,6.34,26.78,12.88,9.69,14.74,60.20,1.67,7.01
2000,304,1.66,28.15,12.43,9.96,14.54,76.52,17.42,9.51
2000,305,4.90,26.32,9.60,8.06,11.82,84.70,0.00,5.88
2000,306,3.71,26.50,9.58,7.51,11.46,85.00,0.00,5.66
2000,307,2.48,26.82,10.14,8.15,12.76,86.12,0.00,5.74
2000,308,5.36,26.06,8.36,7.40,10.34,83.96,8.17,4.30
2000,309,3.67,24.19,7.37,3.65,8.94,92.85,0.00,3.57
2000,310,6.73,25.38,7.30,3.47,10.49,87.20,0.70,5.37
2000,311,2.02,27.25,9.84,7.12,12.49,85.76,0.00,7.63
2000,312,1.33,26.82,8.39,7.17,9.51,87.75,14.39,6.61
2000,313,1.73,27.32,8.88,8.07,9.73,86.05,3.83,5.66
2000,314,4.75,24.95,7.49,5.17,9.60,86.03,0.00,4.10
2000,315,7.60,23.33,5.64,4.56,8.07,90.22,0.00,3.26
2000,316,5.00,24.88,7.26,4.69,11.08,79.36,0.00,4.43
2000,317,1.01,26.32,7.60,4.45,10.46,89.54,26.93,6.16
2000,318,2.84,26.75,8.61,1.56,11.45,89.88,11.38,2.77
2000,319,4.07,24.01,6.88,1.39,8.34,89.13,0.00,3.24
2000,320,2.38,24.05,6.31,0.87,9.09,90.32,0.00,3.53
2000,321,2.27,25.88,6.54,4.43,8.54,91.47,3.52,4.30
2000,322,4.86,23.36,4.71,3.88,5.85,95.30,0.00,2.95
2000,323,3.06,27.25,6.68,4.45,9.66,90.56,3.13,3.19
2000,324,2.99,27.86,9.89,7.77,12.14,89.44,0.00,4.92
2000,325,3.49,23.98,6.67,4.91,9.01,84.39,0.00,4.59
2000,326,2.84,26.24,6.68,-1.33,11.52,92.97,9.63,5.81
2000,327,3.13,25.99,8.60,4.27,10.99,89.18,5.12,4.91
2000,328,1.51,27.14,8.75,1.23,11.93,95.45,16.29,4.12
2000,329,5.11,23.26,6.29,4.76,7.50,92.11,0.00,3.44
2000,330,2.56,25.63,8.08,5.39,11.07,91.71,0.00,4.68
2000,331,5.26,24.91,7.85,6.50,9.36,84.34,1.32,5.51
2000,332,1.94,27.04,8.03,5.51,12.07,95.81,17.62,3.25
2000,333,4.43,28.30,12.71,10.46,15.61,89.41,8.77,4.33
2000,334,2.30,29.02,11.25,10.02,13.44,86.06,3.88,4.55
2000,335,3.89,27.18,9.22,3.77,11.81,98.09,3.13,3.09
2000,336,1.40,28.80,11.65,10.11,12.59,86.55,15.79,5.19
2000,337,2.20,27.50,10.16,7.43,11.79,90.83,7.64,2.84
2000,338,3.35,24.73,7.73,6.46,10.83,92.34,0.00,3.61
2000,339,2.70,25.99,7.49,5.40,9.66,88.88,1.62,4.77
2000,340,2.81,26.32,10.03,8.30,12.11,82.05,7.16,5.42
2000,341,1.44,27.18,10.22,9.36,11.16,84.87,9.60,4.57
2000,342,0.90,27.68,10.24,7.61,12.65,86.43,10.55,6.12
2000,343,3.60,26.06,11.01,8.17,13.95,80.81,1.30,5.73
2000,344,4.46,24.30,9.05,7.45,10.41,89.16,1.13,4.58
2000,345,2.05,27.11,10.27,5.18,12.93,84.20,0.00,6.59
2000,346,3.60,27.68,11.02,8.96,13.48,78.51,1.85,4.95
2000,347,1.37,28.19,11.93,10.83,14.08,76.61,14.10,5.54
2000,348,2.56,27.18,10.89,8.69,13.41,78.02,3.47,6.77
2000,349,1.48,25.85,9.00,7.58,10.31,88.32,4.41,4.31
2000,350,3.13,25.02,5.35,4.44,6.22,90.20,0.00,4.14
2000,351,2.95,24.05,4.00,-0.02,5.77,95.46,0.00,2.91
2000,352,3.20,24.98,4.13,-1.01,5.85,99.05,0.00,1.96
2000,353,1.76,26.93,7.07,1.99,9.75,93.13,3.32,3.13
2000,354,3.67,24.80,7.12,2.90,9.41,97.43,0.50,2.53
2000,355,4.36,25.70,6.33,4.52,9.71,87.78,0.77,4.31
2000,356,4.57,24.70,4.95,3.29,7.29,90.25,0.00,3.35
2000,357,3.56,21.78,3.86,2.42,6.02,85.04,0.00,3.70
2000,358,5.00,21.85,3.81,2.00,7.24,77.20,0.00,3.27
2000,359,2.66,26.75,5.16,2.82,8.17,83.02,2.67,3.45
2000,360,1.30,27.25,5.92,1.11,7.36,99.12,3.40,2.23
2000,361,1.94,26.06,5.17,0.18,6.51,96.48,0.00,2.46
2000,362,2.12,26.03,5.40,0.54,7.20,97.38,0.00,2.39
2000,363,3.13,23.76,1.93,-0.12,4.40,90.33,0.69,2.97
2000,364,2.66,24.80,3.10,1.90,4.23,91.73,0.00,2.63
2000,365,4.90,19.73,-0.25,-2.80,1.85,93.51,0.00,2.98
2000,366,4.14,22.39,-0.34,-1.99,3.15,94.67,3.99,3.45
2001,1,0.86,25.99,6.95,2.07,9.58,88.71,16.54,5.68
2001,2,3.89,25.38,8.93,6.26,11.40,84.20,0.00,6.43
2001,3,4.54,26.10,7.11,2.63,9.76,87.31,9.72,4.28
2001,4,3.74,26.50,7.96,1.00,9.71,86.92,5.50,5.63
2001,5,1.58,27.68,10.41,7.64,12.44,90.00,12.11,8.56
2001,6,2.38,26.32,7.82,5.85,12.08,87.40,4.24,3.33
2001,7,3.13,22.97,5.00,4.32,6.22,93.51,0.00,2.18
2001,8,4.61,22.97,2.59,1.02,3.68,96.87,0.00,1.96
2001,9,3.24,25.13,2.36,1.02,3.50,94.24,0.59,3.35
2001,10,3.38,26.53,6.47,2.49,10.25,86.96,9.13,4.29
2001,11,1.40,26.50,6.31,-1.14,8.60,95.82,5.60,3.70
2001,12,1.76,25.42,5.12,2.93,7.66,92.85,6.67,5.61
2001,13,6.44,18.86,1.39,-0.25,3.11,80.05,0.00,5.42
2001,14,6.44,18.29,0.05,-1.35,3.42,61.85,0.00,5.59
2001,15,2.70,23.00,-0.49,-1.89,1.87,77.60,0.00,3.01
2001,16,3.60,22.32,0.21,-1.17,2.93,84.43,0.00,1.91
2001,17,3.06,22.90,0.18,-0.82,1.01,88.90,0.00,1.97
2001,18,2.84,23.40,1.81,-0.89,3.58,100.00,0.00,1.72
2001,19,2.88,23.80,1.13,-4.82,3.42,99.40,0.00,0.81
2001,20,3.28,22.75,0.52,-1.65,2.68,99.78,0.00,0.77
2001,21,2.05,24.05,2.38,-2.31,8.44,98.81,10.59,3.49
2001,22,2.81,26.21,7.84,3.75,9.11,87.13,5.99,5.11
2001,23,1.26,26.78,9.60,6.56,11.60,83.70,0.00,5.58
2001,24,4.10,26.21,10.18,6.41,12.74,82.21,2.15,6.23
2001,25,4.43,24.98,7.31,5.88,9.52,85.82,1.33,3.68
2001,26,4.32,24.62,6.08,5.15,7.92,85.04,8.35,5.21
2001,27,6.66,23.58,5.58,3.43,7.66,82.27,0.00,5.56
2001,28,6.55,23.54,4.25,0.20,7.21,92.09,0.00,2.34
2001,29,4.54,22.50,0.84,-2.10,2.62,92.99,0.00,3.57
2001,30,3.64,22.75,-1.06,-3.90,0.83,98.93,0.00,1.62
2001,31,3.02,25.56,1.34,-1.30,2.69,96.01,0.00,1.44
2001,32,6.80,21.20,-1.07,-4.27,0.68,97.78,0.00,1.68
2001,33,2.81,24.88,0.15,-3.96,3.53,91.86,4.09,3.65
2001,34,2.56,26.21,6.65,3.91,9.67,95.64,13.55,4.24
2001,35,4.03,27.79,9.96,7.02,12.01,87.09,0.07,4.80
2001,36,3.31,27.83,9.49,4.56,10.83,87.44,9.69,7.25
2001,37,3.31,28.33,10.94,8.50,13.76,83.59,8.99,6.33
2001,38,2.77,27.04,9.90,3.43,12.68,83.20,8.88,4.09
2001,39,4.86,26.03,8.53,6.16,11.28,80.06,0.00,5.03
2001,40,3.85,25.99,5.23,2.13,7.22,86.19,0.00,1.92
